feature_id,feature_title,feature_lexeme,feature_description,collected,compiled,updated_day,updated_month,updated_year,domain,settlement,value,stimuli,answer
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kina,V,Рыбы съели мух,балгъумаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Luchek,V,Рыбы съели мух,балгъумаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Luchek,V,Рыбы съели мух,балгъумаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Myukhrek,V,Рыбы съели мух,балгъумаш
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Myukhrek,V,Рыбы съели мух,балгъумаш
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kina,V,Рыбы съели мух,балгъумаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Ikhrek,V,Рыбы съели мух,балгъумаш
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Ikhrek,V,Рыбы съели мух,балгъумаш
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Dzhilikhur,V,Рыбы съели мух,балгъумаш
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Dzhilikhur,V,Рыбы съели мух,балгъумаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Khnov,V,Рыбы съели мух,балугъмаше лиъири дудар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Khnov,V,Рыбы съели мух,балу́гъмаше хъилъири дудар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Khnov,R ; V,Рыбы съели мух,"балугъмыри, балугъмаша лиъири дудар"
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kiche,,Рыбы съели мух,балугъмар лиъири дудаше
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Kiche,R,Рыбы съели мух,балгъумыра / (балгъумаше) дудар лиъири
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Shinaz,V,Рыбы съели мух,балгъумаш / балугъмаш лиъыра дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Shinaz,V,Рыбы съели мух,балугъмаш лииъыры баладбыр дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kala,V,Рыбы съели мух,балгъумаше лиъира дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Kala,V,Рыбы съели мух,балугъмаше лиъыр дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Amsar,V,Рыбы съели мух,балгъумаш лиъир дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Amsar,V,Рыбы съели мух,балугъмаш лиъир дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Rutul,V,Рыбы съели мух,балгъумаше луьвъури дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Rutul,V,Рыбы съели мух,балгъумаше луьъуьри дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kufa,V,Рыбы съели мух,балгъумаше луьъур ай дыдар
1,ergative marker type,fish.PL,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Kufa,V,Рыбы съели мух,балугъмаше дыдар луьъур
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kina,R,Рыба съела муху,балгъура
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Luchek,R,Рыба съела муху,балгъур
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Kostya Filatov,Asya Alekseeva,21,3,2023,Noun,Luchek,R,Рыба съела муху,балгъур
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Myukhrek,R,Рыба съела муху,балгъур
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Myukhrek,R,Рыба съела муху,балгъур
1,ergative marker type,fish.SG,"What type of ergative marker is attached - vowel-type (-a, -e, etc.) or r-type (-ara, -ere, etc.)?",Asya Alekseeva,Asya Alekseeva,21,3,2023,Noun,Kina,R,Рыба съела муху,балгъура
